Rozmiar tabu ; Sredni koszt ; Sredni czas
1 ; 39 ; 0.1222
2 ; 39 ; 0.1222
5 ; 39 ; 0.1208
10 ; 39 ; 0.1254
20 ; 39 ; 0.1206
50 ; 39 ; 0.1346
100 ; 39 ; 0.1184
Ilosc sasiadow ; Sredni koszt ; Sredni czas
5 ; 47 ; 0.002
10 ; 45 ; 0.0034
20 ; 39 ; 0.0066
40 ; 39 ; 0.0124
100 ; 39 ; 0.0302
200 ; 39 ; 0.0562
400 ; 39 ; 0.1216
800 ; 39 ; 0.2298
Ilosc iteracji ; Sredni koszt ; Sredni czas
5 ; 39 ; 0.0038
10 ; 39 ; 0.0066
20 ; 39 ; 0.012
40 ; 39 ; 0.0236
100 ; 39 ; 0.0624
200 ; 39 ; 0.1132
400 ; 39 ; 0.2232
800 ; 39 ; 0.4396
Ilosc iteracji dla losowych sasiadow ; Sredni koszt ; Sredni czas
5 ; 39 ; 0.0202
10 ; 39 ; 0.0298
20 ; 39 ; 0.0576
40 ; 39 ; 0.1134
100 ; 39 ; 0.2922
200 ; 39 ; 0.5692
400 ; 39 ; 1.131
800 ; 39 ; 2.2694
