Rozmiar tabu ; Sredni koszt ; Sredni czas
1 ; 597 ; 0.2086
2 ; 588.8 ; 0.2088
5 ; 585.8 ; 0.1958
10 ; 600 ; 0.1762
20 ; 606 ; 0.1712
50 ; 625.2 ; 0.1708
100 ; 627.6 ; 0.1748
Ilosc sasiadow ; Sredni koszt ; Sredni czas
5 ; 664 ; 0.0026
10 ; 649 ; 0.0046
20 ; 649 ; 0.0092
40 ; 650 ; 0.0168
100 ; 650.6 ; 0.0424
200 ; 626 ; 0.082
400 ; 597 ; 0.1784
800 ; 588.6 ; 0.3494
Ilosc iteracji ; Sredni koszt ; Sredni czas
5 ; 641 ; 0.0064
10 ; 630 ; 0.0096
20 ; 641 ; 0.0174
40 ; 609 ; 0.0342
100 ; 619 ; 0.0836
200 ; 607.6 ; 0.175
400 ; 598.2 ; 0.344
800 ; 593.2 ; 0.6896
Ilosc iteracji dla losowych sasiadow ; Sredni koszt ; Sredni czas
5 ; 634.8 ; 0.0206
10 ; 639 ; 0.0414
20 ; 596 ; 0.0886
40 ; 608 ; 0.1694
100 ; 616.2 ; 0.4244
200 ; 609.6 ; 0.8338
400 ; 606 ; 1.6466
800 ; 600.4 ; 3.279
