Rozmiar tabu ; Sredni koszt ; Sredni czas
1 ; 3303 ; 0.1284
2 ; 3284.2 ; 0.1234
5 ; 3068 ; 0.1318
10 ; 2998 ; 0.1246
20 ; 3079.4 ; 0.1362
50 ; 3198 ; 0.1376
100 ; 3198 ; 0.1554
Ilosc sasiadow ; Sredni koszt ; Sredni czas
5 ; 3333 ; 0.0018
10 ; 3333 ; 0.0038
20 ; 3303 ; 0.0068
40 ; 3250 ; 0.0132
100 ; 3038 ; 0.0334
200 ; 3069 ; 0.0664
400 ; 2830.2 ; 0.1276
800 ; 2873.6 ; 0.2538
Ilosc iteracji ; Sredni koszt ; Sredni czas
5 ; 3303 ; 0.0036
10 ; 3246 ; 0.0076
20 ; 3068 ; 0.0134
40 ; 3069 ; 0.0268
100 ; 2998 ; 0.07
200 ; 2707 ; 0.1306
400 ; 2707.8 ; 0.2468
800 ; 2707 ; 0.5224
Ilosc iteracji dla losowych sasiadow ; Sredni koszt ; Sredni czas
5 ; 3104 ; 0.0202
10 ; 3082 ; 0.035
20 ; 2998 ; 0.0664
40 ; 2998 ; 0.1276
100 ; 2717.6 ; 0.3036
200 ; 2755 ; 0.6092
400 ; 2789.8 ; 1.2112
800 ; 2740.6 ; 2.3992
