Rozmiar tabu ; Sredni koszt ; Sredni czas
1 ; 44680.2 ; 0.2414
2 ; 44874.2 ; 0.214
5 ; 45099.2 ; 0.2056
10 ; 45496 ; 0.199
20 ; 45581.6 ; 0.1872
50 ; 46336.8 ; 0.1878
100 ; 46169.2 ; 0.193
Ilosc sasiadow ; Sredni koszt ; Sredni czas
5 ; 47196 ; 0.003
10 ; 47237 ; 0.0052
20 ; 47359 ; 0.0106
40 ; 47237 ; 0.0186
100 ; 47133.4 ; 0.0474
200 ; 46240 ; 0.0898
400 ; 44969.4 ; 0.2002
800 ; 44137.6 ; 0.4084
Ilosc iteracji ; Sredni koszt ; Sredni czas
5 ; 46729 ; 0.0062
10 ; 46407 ; 0.0108
20 ; 46228 ; 0.0212
40 ; 45739 ; 0.0394
100 ; 46567.8 ; 0.0912
200 ; 45971.8 ; 0.1904
400 ; 46239.4 ; 0.363
800 ; 45044.6 ; 0.7844
Ilosc iteracji dla losowych sasiadow ; Sredni koszt ; Sredni czas
5 ; 46176 ; 0.023
10 ; 46176 ; 0.0488
20 ; 46176 ; 0.0894
40 ; 46310.4 ; 0.186
100 ; 45985 ; 0.4552
200 ; 46187.6 ; 0.9104
400 ; 45891.2 ; 1.8202
800 ; 45598.4 ; 3.6198
