Rozmiar tabu ; Sredni koszt ; Sredni czas
1 ; 2890.4 ; 0.809
2 ; 2901.6 ; 0.7338
5 ; 2860.2 ; 0.8114
10 ; 2906.2 ; 0.7414
20 ; 2911.6 ; 0.7218
50 ; 2916.2 ; 0.736
100 ; 2936 ; 0.669
Ilosc sasiadow ; Sredni koszt ; Sredni czas
5 ; 3907.6 ; 0.0122
10 ; 3896 ; 0.0186
20 ; 3742 ; 0.0334
40 ; 3613 ; 0.0624
100 ; 3197.6 ; 0.1734
200 ; 3030.4 ; 0.3406
400 ; 2921.4 ; 0.7278
800 ; 2848.8 ; 1.5574
Ilosc iteracji ; Sredni koszt ; Sredni czas
5 ; 3319 ; 0.0396
10 ; 3256.6 ; 0.059
20 ; 3128 ; 0.1058
40 ; 3045.4 ; 0.1792
100 ; 2965.2 ; 0.3594
200 ; 2928.2 ; 0.669
400 ; 2954.6 ; 1.1702
800 ; 2917.4 ; 2.3028
Ilosc iteracji dla losowych sasiadow ; Sredni koszt ; Sredni czas
5 ; 2974 ; 0.1552
10 ; 2954.8 ; 0.2638
20 ; 2999.4 ; 0.3944
40 ; 2980.8 ; 0.6252
100 ; 2991.4 ; 1.4034
200 ; 2987.2 ; 2.7106
400 ; 3000.4 ; 5.3194
800 ; 2985 ; 10.5036
